Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
"Subscribe to receive newsletters and email updates - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07034.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07034.html,527,733,104,0
Investments in Canadian Post-Secondary Institutions - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=241,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=241,474,831,132,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=101,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=101,457,575,199,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,433,579,64,0
"Contact us by phone / fax - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07148.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07148.html,369,408,176,0
Industries and business - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=5,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=5,356,429,188,0
"Apply for crown copyright clearance - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07413.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07413.html,355,463,34,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html,354,458,55,0
"Contactez-nous par la poste - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07150.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07150.html,330,376,190,0
Change your password - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,295,514,44,0
"Recherche - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/06957.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/06957.html,287,372,110,0
"Restez branchés - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07031.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07031.html,286,312,89,0
"Standards of Service to the Public - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07543.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07543.html,282,313,92,0
"Policies and research - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07024.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07024.html,274,330,124,0
"Copyright—Written permission - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07414.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07414.html,264,315,72,0
"Apply for Crown Copyright Clearance - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/EABV-9DDLWL,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/EABV-9DDLWL,258,757,102,0
"Guylaine Roy - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07661.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07661.html,249,294,140,0
"Renseignements/rétroaction — Accusé de réception - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00281.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00281.html,228,272,135,0
"À propos de nous - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07017.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07017.html,218,293,53,0
